expo_id;mus_id;expo_name;expo_value
1;1;Богатыри (Васнецов);15000
2;1;Утро в сосновом лесу (Шишкин);12000
3;1;Иван Грозный и сын его Иван (Репин);25000
4;1;Грачи прилетели (Саврасов);8000
5;1;Девочка с персиками (Серов);9500
6;2;Последний день Помпеи (Брюллов);22000
7;2;Девятый вал (Айвазовский);18000
8;2;Всадница (Брюллов);7500
9;3;Мадонна Литта (Леонардо да Винчи);45000
10;3;Юдифь (Джорджоне);32000
11;3;Даная (Рембрандт);38000
12;4;Купальщицы (Сезанн);12500
13;4;Танец (Матисс);14000
14;4;Музыка (Матисс);13500
